pop	clust1	clust2
halfpounder	0.2217	0.7783
halfpounder	0.3837	0.6163
halfpounder	0.6281	0.3719
halfpounder	0.4851	0.5149
halfpounder	0.7568	0.2432
halfpounder	0.4128	0.5872
halfpounder	0.6230	0.3770
halfpounder	0.5733	0.4267
halfpounder	0.6493	0.3507
halfpounder	0.1441	0.8559
halfpounder	0.4372	0.5628
halfpounder	0.1795	0.8205
halfpounder	0.5979	0.4021
halfpounder	0.6411	0.3589
halfpounder	0.4489	0.5511
halfpounder	0.4970	0.5030
halfpounder	0.5824	0.4176
halfpounder	0.4666	0.5334
halfpounder	0.1729	0.8271
halfpounder	0.2983	0.7017
halfpounder	0.6157	0.3843
halfpounder	0.5881	0.4119
halfpounder	0.5008	0.4992
halfpounder	0.5474	0.4526
halfpounder	0.5757	0.4243
halfpounder	0.5084	0.4916
halfpounder	0.6899	0.3101
halfpounder	0.6015	0.3985
halfpounder	0.5748	0.4252
halfpounder	0.1426	0.8574
halfpounder	0.4571	0.5429
halfpounder	0.3353	0.6647
halfpounder	0.3336	0.6664
halfpounder	0.5242	0.4758
halfpounder	0.5281	0.4719
halfpounder	0.5705	0.4295
halfpounder	0.6040	0.3960
halfpounder	0.5154	0.4846
halfpounder	0.5608	0.4392
halfpounder	0.6297	0.3703
halfpounder	0.4142	0.5858
halfpounder	0.5016	0.4984
fall	0.4810	0.5190
fall	0.3467	0.6533
fall	0.6605	0.3395
fall	0.5451	0.4549
fall	0.5155	0.4845
fall	0.5892	0.4108
fall	0.5453	0.4547
fall	0.6009	0.3991
fall	0.6523	0.3477
fall	0.4849	0.5151
fall	0.4772	0.5228
fall	0.4786	0.5214
fall	0.6184	0.3816
fall	0.3941	0.6059
fall	0.4223	0.5777
fall	0.6389	0.3611
fall	0.2150	0.7850
fall	0.5082	0.4918
fall	0.5248	0.4752
fall	0.5018	0.4982
fall	0.3910	0.6090
fall	0.4435	0.5565
fall	0.5012	0.4988
fall	0.5641	0.4359
fall	0.4837	0.5163
fall	0.5611	0.4389
fall	0.6631	0.3369
fall	0.6127	0.3873
fall	0.6764	0.3236
fall	0.1127	0.8873
fall	0.2347	0.7653
fall	0.4780	0.5220
fall	0.1360	0.8640
fall	0.3794	0.6206
fall	0.4527	0.5473
fall	0.6581	0.3419
fall	0.3763	0.6237
fall	0.6446	0.3554
fall	0.6283	0.3717
fall	0.2310	0.7690
fall	0.6259	0.3741
fall	0.4529	0.5471
fall	0.6059	0.3941
fall	0.1718	0.8282
fall	0.3373	0.6627
fall	0.4914	0.5086
fall	0.4618	0.5382
fall	0.6037	0.3963
fall	0.2360	0.7640
fall	0.6675	0.3325
fall	0.4934	0.5066
fall	0.1897	0.8103
fall	0.3899	0.6101
fall	0.3454	0.6546
fall	0.6080	0.3920
fall	0.6808	0.3192
fall	0.6178	0.3822
fall	0.5319	0.4681
fall	0.6063	0.3937
fall	0.6143	0.3857
fall	0.6825	0.3175
fall	0.7235	0.2765
fall	0.7578	0.2422
fall	0.6173	0.3827
fall	0.3559	0.6441
fall	0.6194	0.3806
fall	0.6274	0.3726
fall	0.3769	0.6231
fall	0.5652	0.4348
fall	0.6097	0.3903
fall	0.6452	0.3548
fall	0.5454	0.4546
fall	0.5430	0.4570
fall	0.4073	0.5927
fall	0.4622	0.5378
fall	0.4274	0.5726
fall	0.6799	0.3201
fall	0.6046	0.3954
fall	0.4636	0.5364
fall	0.3559	0.6441
fall	0.5073	0.4927
fall	0.5135	0.4865
fall	0.5612	0.4388
fall	0.5747	0.4253
fall	0.4667	0.5333
fall	0.5637	0.4363
fall	0.4661	0.5339
fall	0.4556	0.5444
fall	0.4331	0.5669
fall	0.4726	0.5274
fall	0.4628	0.5372
fall	0.5705	0.4295
fall	0.5173	0.4827
fall	0.4930	0.5070
fall	0.5849	0.4151
fall	0.6132	0.3868
fall	0.4243	0.5757
fall	0.5748	0.4252
fall	0.6126	0.3874
fall	0.4751	0.5249
fall	0.5921	0.4079
fall	0.4066	0.5934
fall	0.4302	0.5698
fall	0.5922	0.4078
fall	0.5792	0.4208
fall	0.4750	0.5250
fall	0.6156	0.3844
fall	0.6748	0.3252
fall	0.6298	0.3702
fall	0.5013	0.4987
fall	0.4969	0.5031
fall	0.4186	0.5814
fall	0.2806	0.7194
fall	0.2116	0.7884
fall	0.1702	0.8298
fall	0.3575	0.6425
fall	0.6520	0.3480
fall	0.5239	0.4761
fall	0.3488	0.6512
fall	0.7025	0.2975
fall	0.6838	0.3162
fall	0.3622	0.6378
fall	0.6749	0.3251
fall	0.4895	0.5105
fall	0.1777	0.8223
fall	0.4285	0.5715
fall	0.4080	0.5920
fall	0.3856	0.6144
fall	0.4820	0.5180
fall	0.3900	0.6100
fall	0.4107	0.5893
fall	0.6224	0.3776
fall	0.6774	0.3226
fall	0.3964	0.6036
fall	0.4239	0.5761
fall	0.5424	0.4576
fall	0.5316	0.4684
fall	0.5573	0.4427
fall	0.5687	0.4313
fall	0.4103	0.5897
fall	0.2840	0.7160
fall	0.4605	0.5395
fall	0.4936	0.5064
fall	0.2012	0.7988
fall	0.6585	0.3415
fall	0.5003	0.4997
fall	0.6651	0.3349
fall	0.4142	0.5858
fall	0.5301	0.4699
fall	0.5516	0.4484
fall	0.5359	0.4641
fall	0.5247	0.4753
fall	0.1594	0.8406
fall	0.3105	0.6895
