pop	clust1	clust2	clust3
halfpounder	0.5623	0.0703	0.3675
halfpounder	0.6287	0.1540	0.2173
halfpounder	0.2472	0.2131	0.5398
halfpounder	0.5253	0.1831	0.2916
halfpounder	0.0515	0.9158	0.0327
halfpounder	0.1240	0.1408	0.7351
halfpounder	0.7052	0.0836	0.2112
halfpounder	0.1436	0.4523	0.4042
halfpounder	0.0681	0.8753	0.0566
halfpounder	0.4501	0.1133	0.4365
halfpounder	0.6195	0.1039	0.2766
halfpounder	0.1673	0.2021	0.6306
halfpounder	0.1039	0.0408	0.8553
halfpounder	0.8132	0.1217	0.0651
halfpounder	0.2443	0.0657	0.6900
halfpounder	0.0628	0.8397	0.0975
halfpounder	0.5390	0.1753	0.2857
halfpounder	0.4192	0.3240	0.2567
halfpounder	0.6326	0.1002	0.2672
halfpounder	0.1404	0.6830	0.1766
halfpounder	0.5255	0.0470	0.4275
halfpounder	0.1366	0.1898	0.6736
halfpounder	0.7164	0.0875	0.1961
halfpounder	0.5383	0.1096	0.3521
halfpounder	0.1791	0.3180	0.5029
halfpounder	0.1350	0.1097	0.7553
halfpounder	0.1955	0.0990	0.7055
halfpounder	0.7886	0.1212	0.0902
halfpounder	0.4041	0.2827	0.3133
halfpounder	0.7936	0.0596	0.1468
halfpounder	0.1324	0.8034	0.0642
halfpounder	0.7357	0.1222	0.1421
halfpounder	0.2451	0.1612	0.5937
halfpounder	0.1163	0.7713	0.1124
halfpounder	0.6019	0.0834	0.3147
halfpounder	0.1517	0.1855	0.6627
halfpounder	0.6846	0.0756	0.2398
halfpounder	0.1246	0.0396	0.8358
halfpounder	0.4608	0.1322	0.4070
halfpounder	0.5358	0.1306	0.3336
halfpounder	0.4555	0.2786	0.2658
halfpounder	0.0703	0.8556	0.0741
halfpounder	0.3881	0.4128	0.1990
halfpounder	0.7525	0.1060	0.1414
halfpounder	0.1207	0.5747	0.3046
halfpounder	0.0711	0.8848	0.0441
halfpounder	0.2936	0.3439	0.3624
halfpounder	0.1556	0.2905	0.5539
halfpounder	0.5358	0.1195	0.3447
halfpounder	0.6940	0.1370	0.1690
halfpounder	0.6488	0.0919	0.2593
halfpounder	0.1229	0.8118	0.0654
halfpounder	0.2772	0.5288	0.1940
halfpounder	0.2506	0.0971	0.6523
halfpounder	0.6545	0.2394	0.1061
halfpounder	0.4896	0.0434	0.4670
halfpounder	0.3230	0.4322	0.2447
halfpounder	0.2938	0.1073	0.5989
halfpounder	0.5821	0.1472	0.2707
halfpounder	0.7667	0.0813	0.1520
halfpounder	0.0446	0.9151	0.0403
halfpounder	0.4693	0.3896	0.1412
halfpounder	0.0498	0.8744	0.0758
halfpounder	0.7976	0.0968	0.1056
halfpounder	0.3935	0.1034	0.5031
halfpounder	0.2438	0.3666	0.3895
halfpounder	0.6025	0.2308	0.1667
halfpounder	0.4350	0.1504	0.4145
halfpounder	0.4126	0.3195	0.2680
halfpounder	0.0492	0.8857	0.0651
halfpounder	0.1284	0.6897	0.1820
halfpounder	0.5415	0.1006	0.3579
halfpounder	0.5219	0.1585	0.3196
halfpounder	0.6212	0.2281	0.1507
halfpounder	0.5031	0.2417	0.2552
halfpounder	0.4992	0.1478	0.3531
halfpounder	0.1990	0.2231	0.5779
halfpounder	0.5063	0.0738	0.4199
halfpounder	0.3041	0.1360	0.5599
halfpounder	0.2461	0.1722	0.5817
halfpounder	0.0450	0.9125	0.0425
halfpounder	0.1582	0.3295	0.5123
halfpounder	0.1495	0.6465	0.2040
halfpounder	0.1644	0.6236	0.2121
halfpounder	0.6025	0.2119	0.1855
halfpounder	0.4824	0.2223	0.2953
halfpounder	0.5721	0.1460	0.2819
halfpounder	0.0961	0.0983	0.8057
halfpounder	0.4490	0.2525	0.2986
halfpounder	0.2444	0.1681	0.5874
halfpounder	0.1916	0.0994	0.7090
halfpounder	0.1625	0.4361	0.4014
halfpounder	0.4957	0.2483	0.2560
fall	0.3657	0.3246	0.3097
fall	0.2799	0.5530	0.1671
fall	0.7261	0.0837	0.1902
fall	0.6427	0.1755	0.1817
fall	0.4247	0.2642	0.3112
fall	0.2328	0.1376	0.6296
fall	0.5042	0.1872	0.3086
fall	0.4241	0.1379	0.4381
fall	0.7332	0.0753	0.1915
fall	0.3990	0.3102	0.2908
fall	0.1829	0.3034	0.5137
fall	0.4725	0.3374	0.1901
fall	0.2424	0.1043	0.6533
fall	0.3318	0.4721	0.1962
fall	0.5199	0.3395	0.1406
fall	0.3895	0.1178	0.4927
fall	0.0962	0.8088	0.0950
fall	0.2696	0.2497	0.4808
fall	0.5018	0.2022	0.2961
fall	0.6523	0.2181	0.1296
fall	0.3708	0.4765	0.1526
fall	0.4950	0.3690	0.1360
fall	0.2467	0.2709	0.4824
fall	0.5793	0.1531	0.2676
fall	0.3025	0.3290	0.3684
fall	0.6877	0.1349	0.1774
fall	0.5491	0.0804	0.3705
fall	0.3683	0.1345	0.4972
fall	0.5186	0.0716	0.4098
fall	0.0305	0.9435	0.0260
fall	0.1107	0.8089	0.0804
fall	0.4726	0.3085	0.2188
fall	0.0382	0.9187	0.0431
fall	0.1798	0.5173	0.3029
fall	0.4549	0.3462	0.1990
fall	0.1550	0.0802	0.7648
fall	0.3577	0.4990	0.1433
fall	0.5235	0.0895	0.3870
fall	0.6305	0.1136	0.2559
fall	0.1242	0.8056	0.0702
fall	0.7812	0.0824	0.1364
fall	0.1924	0.4019	0.4057
fall	0.5958	0.1160	0.2882
fall	0.0612	0.8908	0.0480
fall	0.3155	0.5696	0.1149
fall	0.5446	0.2668	0.1886
fall	0.4617	0.3134	0.2249
fall	0.6194	0.1106	0.2700
fall	0.1961	0.7461	0.0578
fall	0.4246	0.0777	0.4977
fall	0.5869	0.2390	0.1741
fall	0.0621	0.8758	0.0621
fall	0.2779	0.5119	0.2102
fall	0.2793	0.5895	0.1312
fall	0.2881	0.1115	0.6004
fall	0.6102	0.0679	0.3219
fall	0.1686	0.1144	0.7170
fall	0.5050	0.1956	0.2994
fall	0.5864	0.1194	0.2942
